id,sentence,total_fix_dur
24,Isabelle Huppert excels as the enigmatic Mika and Anna Mouglalis is a stunning new young talent in one of Chabrol's most intense psychological mysteries. ,3421.0000000000005
25,This thing works on no level whatsoever for me. ,1550.5833333333335
26,always remains movingly genuine. ,1388.0909090909092
27,"The Movie is what happens when you blow up small potatoes to 10 times their natural size, and it ain't pretty. ",2634.5833333333335
28,Mostly Martha could have used a little trimming -- 10 or 15 minutes could be cut and no one would notice -- but it's a pleasurable trifle. ,3025.9166666666665
29,"The director, with his fake backdrops and stately pacing, never settles on a consistent tone. ",1712.833333333333
30,... ,0.0
31,Bullock's complete lack of focus and ability quickly derails the film.1 ... ,2006.25
32,"It would be disingenuous to call Reno a great film, but you can say that about most of the flicks moving in and out of the multiplex. ",2798.3636363636374
33,It's neither as romantic nor as thrilling as it should be. ,1057.5
34,... ,0.0
35,... ,0.0
36,Even horror fans will most likely not find what they're seeking with Trouble Every Day; the movie lacks both thrills and humor. ,2171.9090909090914
37,The Movie will reach far beyond its core demographic. ,1460.6666666666665
38,The film's stagecrafts are intimate and therefore bolder than the otherwise calculated artifice that defines and overwhelms the film's production design. ,5945.666666666667
39,"For the rest of us, sitting through Dahmer's two hours amounts to little more than punishment. ",2144.0833333333335
40,A richly imagined and admirably mature work from a gifted director who definitely has something on his mind. ,1882.9166666666663
41,"In some ways, Lagaan is quintessential Bollywood. ",1378.818181818182
42,At 78 minutes it just zings along with vibrance and warmth. ,1395.9166666666665
43,I like the new footage and still love the old stuff. ,1435.8333333333333
44,``Simone'' is a fun and funky look into an artificial creation in a world that thrives on artificiality. ,2579.545454545455
45,"More romantic, more emotional and ultimately more satisfying than the teary-eyed original. ",2041.2727272727273
46,One of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals... ,2687.083333333334
47,"This odd, poetic road movie, spiked by jolts of pop music, pretty much takes place in Morton's ever-watchful gaze -- and it's a tribute to the actress, and to her inventive director, that the journey is such a mesmerizing one. ",3663.3333333333335
48,"Not as distinctive or even as humorous as its needs to be to stand out, but it has clearly been made with affection and care. ",2145.083333333333
49,"Despite the holes in the story and the somewhat predictable plot, moments of the movie caused me to jump in my chair... ",2929.916666666666
50,"To my taste, the film's comic characters come perilously close to being Amoses and Andys for a new generation. ",2415.7499999999995
51,... ,0.0
52,A creaky staircase gothic. ,1118.0833333333335
53,... ,0.0
54,"This picture is murder by numbers, and as easy to be bored by as your ABC's, despite a few whopping shootouts. ",1836.9999999999995
55,"If you already like this sort of thing, this is that sort of thing all over again. ",1737.5833333333333
56,"Same song, second verse, coulda been better, but it coulda been worse. ",2011.0833333333333
57,"The Emperor's Club is one of those films that possesses all the good intentions in the world, but... ",1831.9166666666667
58,amounts to surprisingly little. ,739.5833333333334
59,The film is darkly funny in its observation of just how much more grueling and time-consuming the illusion of work is than actual work. ,2670.636363636364
60,"Reassuring, retro uplifter. ",983.0
61,"a roller-coaster ride of a movie A colorful, vibrant introduction to a universal human impulse, lushly photographed and beautifully recorded. ",3512.3636363636356
62,"Parker should be commended for taking a fresh approach to familiar material, but his determination to remain true to the original text leads him to adopt a somewhat mannered tone... ",2786.4166666666665
63,A truly wonderful tale combined with stunning animation. ,1347.8181818181815
64,"The good is very, very good... ",949.5833333333334
65,"The film just might turn on many people to opera, in general, an art form at once visceral and spiritual, wonderfully vulgar and sublimely lofty -- and as emotionally grand as life. ",3109.75
66,"With the exception of some fleetingly amusing improvisations by Cedric the Entertainer as Perry's boss, there isn't a redeeming moment here. ",2832.0909090909086
67,"You come away wishing, though, that the movie spent a lot less time trying to make a credible case for reports from the afterlife and a lot more time on the romantic urgency that's at the center of the story. ",4363.454545454547
68,Remarkably accessible and affecting. ,1186.1666666666665
69,"Plods along, minus the twisted humor and eye-popping visuals that have made Miike... ",2773.363636363636
70,"Although the sequel has all the outward elements of the original, the first film's lovely flakiness is gone, replaced by the forced funniness found in the dullest kiddie flicks. ",3254.666666666665
71,"But if you've paid a matinee price and bought a big tub of popcorn, there's guilty fun to be had here. ",2499.083333333334
72,"The doofus-on-the-loose banter of Welcome to Collinwood has a cocky, after-hours loopiness to it. ",1802.9166666666663
73,Distinctly sub-par... ,433.0
74,... ,0.0
75,"It's a bizarre curiosity memorable mainly for the way it fritters away its potentially interesting subject matter via a banal script, unimpressive acting and indifferent direction. ",3505.75
76,"I was feeling this movie until it veered off too far into the Exxon zone, and left me behind at the station looking for a return ticket to realism. ",3277.0833333333335
77,"Even by the intentionally low standards of frat-boy humor, Sorority Boys is a bowser. ",2370.181818181818
78,The film serves as a valuable time capsule to remind us of the devastating horror suffered by an entire people. ,2353.090909090909
79,Wedding feels a bit anachronistic. ,919.4999999999999
80,a cult hero. ,360.72727272727275
81,"Methodical, measured, and gently tedious in its comedy, Secret Ballot is a purposefully reductive movie -- which may be why it's so successful at lodging itself in the brain. ",3228.5833333333344
82,Soderbergh's direction and visual style struck me as unusually and unimpressively fussy and pretentious. ,2356.75
83,a psychological masterpiece. ,544.1666666666667
84,"Apparently, romantic comedy with a fresh point of view just doesn't figure in the present Hollywood program. ",2321.416666666667
85,Jeffs has created a breathtakingly assured and stylish work of spare dialogue and acute expressiveness. ,2301.0833333333335
86,There are plot holes big enough for Shamu the killer whale to swim through. ,1545.181818181818
87,"A bittersweet contemporary comedy about benevolent deception, which, while it may not rival the filmmaker's period pieces, is still very much worth seeing. ",3870.454545454546
88,This bold and lyrical first feature from Raja Amari expands the pat notion that middle-aged women just wanna have fun into a rousing treatise of sensual empowerment. ,4287.636363636363
89,"Pacino and Williams seem to keep upping the ante on each other, just as their characters do in the film. ",2265.909090909091
90,The Pianist is Polanski's best film. ,1158.9166666666667
91,"The movie has no respect for laws, political correctness or common decency, but it displays something more important: respect for its flawed, crazy people. ",2755.0
92,"Angel presents events partly from the perspective of Aurelie and Christelle, and infuses the film with the sensibility of a particularly nightmarish fairytale. ",3481.7499999999995
93,"For the most part, the ingredients are there. ",1021.2499999999999
94,The sort of movie that gives tastelessness a bad rap. ,1181.0833333333333
95,As written by Michael Berg and Michael J. ,683.5454545454545
96,"There's not much to Fatale, outside of its stylish surprises... ",1732.8333333333335
97,Narc is a no-bull throwback to 1970s action films. ,1582.9090909090908
98,"The movie's plot is almost entirely witless and inane, carrying every gag two or three times beyond its limit to sustain a laugh. ",3806.9166666666665
99,"At its worst the screenplay is callow, but at its best it is a young artist's thoughtful consideration of fatherhood. ",2344.416666666667
100,"While Tattoo borrows heavily from both Seven and The Silence of the Lambs, it manages to maintain both a level of sophisticated intrigue and human-scale characters that suck the audience in. ",3789.4545454545446
101,The film is so bad it doesn't improve upon the experience of staring at a blank screen. ,1801.5833333333333
102,"Impresses as a skillfully assembled, highly polished and professional adaptation... ",1945.909090909091
103,"what could have been a melodramatic, Lifetime Channel-style anthology. ",1657.0833333333333
104,Even more baffling is that it's funny. ,1025.5
105,The film seems a dead weight. ,1083.6666666666665
106,"This method almost never fails him, and it works superbly here. ",1391.75
107,"The film is a contrivance, as artificial as the video games Japanese teens play in a nightclub sequence, but it's an enjoyable one. ",3142.7499999999995
108,"The film feels formulaic, its plot and pacing typical Hollywood war-movie stuff, while the performances elicit more of a sense of deja vu than awe. ",3258.8333333333335
109,a plotline that's as lumpy as two-day old porridge... ,1217.5833333333333
110,"Feels slight, as if it were an extended short, albeit one made by the smartest kids in class. ",2001.5833333333333
111,"The acting is stiff, the story lacks all trace of wit, the sets look like they were borrowed from Gilligan's Island -- and the CGI Scooby might well be the worst special-effects creation of the year. ",4261.583333333334
112,"Wilson from a story by Wilson, this relentless, all-wise-guys-all-the-time approach tries way too hard and gets tiring in no time at all. ",2944.636363636363
113,"costumer jived with sex -- this could be the movie Errol Flynn always wanted to make, though Bette Davis, cast as Joan, would have killed him. ",3589.166666666667
114,"Measured against practically any like-themed film other than its Oscar-sweeping franchise predecessor The Silence of the Lambs, Red Dragon rates as an exceptional thriller. ",4046.5454545454545
115,Kirshner and Monroe seem to be in a contest to see who can out-bad-act the other. ,2248.454545454545
116,"with a lighthearted glow, some impudent snickers, and a glorious dose of humankind's liberating ability to triumph over a Scrooge or two. ",1854.0833333333335
117,"Shamelessly resorting to pee-related sight gags that might even cause Tom Green a grimace; still, Myer's energy and the silliness of it all eventually prevail. ",3036.416666666666
118,"Some movies can get by without being funny simply by structuring the scenes as if they were jokes: a setup, delivery and payoff. ",2770.909090909091
119,"An action/thriller of the finest kind, evoking memories of Day of the Jackal, The French Connection, and Heat. ",1593.5833333333335
120,It's solid and affecting and exactly as thought-provoking as it should be. ,1572.583333333333
121,Just how these families interact may surprise you. ,1221.75
122,"Viewed as a comedy, a romance, a fairy tale, or a drama, there's nothing remotely triumphant about this motion picture. ",2285.3333333333335
123,"It's as if you're watching a movie that was made in 1978 but not released then because it was so weak, and it has been unearthed and released now, when it has become even weaker. ",3344.666666666666
124,"In XXX, Diesel is that rare creature -- an action hero with table manners, and one who proves that elegance is more than tattoo deep. ",2994.7272727272725
125,"Not the kind of film that will appeal to a mainstream American audience, but there is a certain charm about the film that makes it a suitable entry into the fest circuit. ",3344.727272727273
126,"After sitting through this sloppy, made-for-movie comedy special, it makes me wonder if Lawrence hates criticism so much that he refuses to evaluate his own work. ",3795.09090909091
127,"Gosling creates a staggeringly compelling character, a young man whose sharp intellect is at the very root of his contradictory, self-hating, self-destructive ways. ",3056.166666666666
128,a bland murder-on-campus yawner. ,1130.6666666666665
129,"It never is, not fully. ",1523.3636363636365
130,This enthralling documentary... ,457.83333333333337
131,Returning director Rob Minkoff... ,605.3333333333333
132,It is intensely personal and yet -- unlike Quills -- deftly shows us the temper of the times. ,2143.166666666667
133,very... ,62.75
134,"Often gruelling and heartbreaking to witness, but Seldahl and Wollter's sterling performances raise this far above the level of the usual maudlin disease movie. ",2326.5
135,"Slow, silly and unintentionally hilarious. ",1871.4166666666665
136,Men in Black II achieves ultimate insignificance -- it's the sci-fi comedy spectacle as Whiffle-Ball epic. ,1986.8333333333333
137,"Stitch is a bad mannered, ugly and destructive little ****. ",1633.2727272727273
138,A strangely compelling and brilliantly acted psychological drama. ,1259.1666666666667
139,"I thought the relationships were wonderful, the comedy was funny, and the love `real'. ",1529.4166666666665
140,"Ultimately feels emp11111ty and unsatisfying, like swallowing a Communion wafer without the wine. ",3610.0
141,"While this gentle and affecting melodrama will have luvvies in raptures, it's far too slight and introspective to appeal to anything wider than a niche audience. ",2743.2499999999995
142,"There's no palpable chemistry between Lopez and male lead Ralph Fiennes, plus the script by Working Girl scribe Kevin Wade is workmanlike in the extreme. ",3547.833333333334
143,"Elegantly produced and expressively performed, the six musical numbers crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy. ",3676.6666666666665
144,"A strong script, powerful direction and splendid production design allows us to be transported into the life of Wladyslaw Szpilman, who is not only a pianist, but a good human being. ",3893.1666666666665
145,The only entertainment you'll derive from this choppy and sloppy affair will be from unintentional giggles -- several of them. ,2310.8181818181815
146,... ,14.416666666666664
147,"In a strange way, Egoyan has done too much. ",1261.5454545454547
148,"Since Lee is a sentimentalist, the film is more worshipful than your random E! ",2426.6666666666665
149,A work of astonishing delicacy and force. ,1689.5833333333333
150,The immersive powers of the giant screen and its hyper-realistic images are put to perfect use in the breathtakingly beautiful outer-space documentary Space Station 3D. ,3173.9166666666674
151,"A fiercely clever and subtle film, capturing the precarious balance between the extravagant confidence of the exiled aristocracy and the cruel earnestness of the victorious revolutionaries. ",4269.166666666668
152,"But here's the real damn: It isn't funny, either. ",1509.9999999999998
153,"Lopez himself, who approaches his difficult, endless work with remarkable serenity and discipline. ",2244.333333333333
154,is that it's a crime movie made by someone who obviously knows nothing about crime. ,1352.0
155,"The movie is as far as you can get from racy, to the point where it almost stops the blood flow to your brain; it has a dull, costumey feel. ",2381.5
156,"So young, so smart, such talent, such a wise ***. ",1298.5833333333335
157,It will guarantee to have you leaving the theater with a smile on your face. ,1470.6363636363635
158,An atonal estrogen opera that demonizes feminism while gifting the most sympathetic male of the piece with a nice vomit bath at his wedding. ,4408.181818181818
159,The simplicity of The Way Home has few equals this side of Aesop. ,2301.8333333333335
160,Adults will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like Pinocchio. ,2272.6666666666665
161,"Most haunting about ``Fence'' is its conclusion, when we hear the ultimate fate of these girls and realize, much to our dismay, that this really did happen. ",2679.666666666666
162,"it is visually ravishing, penetrating, impenetrable. ",1169.2727272727273
163,under-rehearsed and lifeless Exactly what you'd expect from a guy named Kaos. ,2154.833333333333
164,Weiss and Speck never make a convincing case for the relevance of these two 20th-century footnotes. ,3083.2500000000005
165,"A miraculous movie, I'm Going Home is so slight, yet overflows with wisdom and emotion. ",1926.2499999999998
166,Allen's funniest and most likeable movie in years. ,1133.0
167,Norton holds the film together. ,751.6666666666665
168,"pitiful, slapdash disaster. ",821.6666666666665
169,"Creepy, authentic and dark. ",1069.4166666666667
170,Anemic chronicle of money grubbing New Yorkers and their serial loveless hook ups. ,2410.5000000000005
171,Intriguing and downright intoxicating. ,959.5454545454545
172,That Haynes can both maintain and dismantle the facades that his genre and his character construct is a wonderous accomplishment of veracity and narrative grace. ,3679.916666666667
173,Adam Sandler's Eight Crazy Nights grows on you -- like a rash. ,1246.4166666666665
174,"Beautifully crafted, engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic, twisty yarn that will keep them guessing. ",4176.833333333333
175,"It's a head-turner -- thoughtfully written, beautifully read and, finally, deeply humanizing. ",1487.0000000000002
176,An intriguing and entertaining introduction to Johnson. ,1371.0
177,"Dong shows how intolerance has the power to deform families, then tear them apart. ",2295.9166666666665
178,"Nothing sticks, really, except a lingering creepiness one feels from being dragged through a sad, sordid universe of guns, drugs, avarice and damaged dreams. ",3804.545454545454
179,`How many more voyages can this limping but dearly-loved franchise survive?' If only the story about a multi-million dollar con bothered to include the con. ,4781.583333333332
180,"Circuit queens won't learn a thing, they'll be too busy cursing the film's strategically placed white sheets. ",2162.5833333333335
181,It isn't that Stealing Harvard is a horrible movie -- if only it were that grand a failure! ,1976.0000000000002
182,"It's the best film of the year so far, the benchmark against which all other Best Picture contenders should be measured. ",1874.3636363636363
183,It's a funny little movie with clever dialogue and likeable characters. ,1461.1818181818182
184,especially in a moral sense. ,456.0
185,"A work of extraordinary journalism, but it is also a work of deft and subtle poetry. ",1534.9166666666667
186,"Bogdanovich taps deep into the Hearst mystique, entertainingly reenacting a historic scandal. ",2022.6666666666667
187,Mazel tov to a film about a family's joyous life acting on the Yiddish stage. ,2212.666666666667
188,Maybe Thomas Wolfe was right: You can't go home again. ,1283.0833333333333
189,"If you're a WWF fan, or you related to the people who watched the robots getting butchered in A.I., you'll probably like Rollerball. ",2498.75
190,It should be mentioned that the set design and interiors of the haunted vessel are more than effectively creepy and moodily lit. ,2881.2727272727275
191,"Hard, endearing, caring, warm. ",1108.9166666666667
192,"It's a powerful though flawed movie, guaranteed to put a lump in your throat while reaffirming Washington as possibly the best actor working in movies today. ",3567.0833333333335
193,"After that, it just gets stupid and maudlin. ",1204.6363636363637
194,"Frida is certainly no disaster, but neither is it the Kahlo movie Frida fans have been looking for. ",2770.0833333333335
195,"Peralta's mythmaking could have used some informed, adult hindsight. ",1939.9166666666667
196,A lame romantic comedy about an unsympathetic character and someone who would not likely be so stupid as to get involved with her. ,3202.3333333333326
197,"If legendary shlockmeister Ed Wood had ever made a movie about a vampire, it probably would look a lot like this alarming production, adapted from Anne Rice's novel The Vampire Chronicles. ",3661.749999999999
198,The original wasn't a good movie but this remake makes it look like a masterpiece! ,2024.3333333333328
199,The cumulative effect of the movie is repulsive and depressing. ,1375.818181818182
200,creates a visceral sense of its characters' lives and conflicted emotions that carries it far above... ,2319.6666666666665
201,"The sort of picture in which, whenever one of the characters has some serious soul searching to do, they go to a picture-perfect beach during sunset. ",3674.272727272727
202,It depends on how well flatulence gags fit into your holiday concept. ,1687.333333333333
203,Festers in just such a dungpile that you'd swear you were watching monkeys flinging their feces at you. ,2488.833333333333
204,"The movie is a blast of educational energy, as bouncy animation and catchy songs escort you through the entire 85 minutes. ",2297.272727272727
205,"One of the finest, most humane and important Holocaust movies ever made. ",1565.25
206,"Even as I valiantly struggled to remain interested, or at least conscious, I could feel my eyelids... ",1904.5
207,relocation camps to keep their hopes alive in 1975. ,847.1666666666667
208,"Too much of this well-acted but dangerously slow thriller feels like a preamble to a bigger, more complicated story, one that never materializes. ",2033.25
209,... ,0.0
210,Both the crime story and the love story are unusual. ,1141.4166666666667
211,Crush could be the worst film a man has made about women since Valley of the Dolls. ,1945.3333333333335
212,But his showboating wise-cracker stock persona sure is getting old. ,1757.4166666666663
213,Largely a for-fans artifact. ,1114.6666666666665
214,"The inhospitability of the land emphasizes the spare precision of the narratives and helps to give them an atavistic power, as if they were tales that had been handed down since the beginning of time. ",3178.2499999999995
215,Samuel Beckett applied to the Iranian voting process. ,1470.0833333333333
216,"Ryan Gosling is, in a word, brilliant as the conflicted Daniel. ",1852.5833333333333
217,... ,0.0
218,"An amateurish, quasi-improvised acting exercise shot on ugly digital video. ",1550.8333333333335
219,Girls gone wild and gone civil again To say Analyze That is De Niro's best film since Meet the Parents sums up the sad state of his recent career. ,3701.2500000000005
220,Steers has an unexpectedly adamant streak of warm-blooded empathy for all his disparate Manhattan denizens -- especially the a**holes. ,3144.1666666666665
221,"A profoundly stupid affair, populating its hackneyed and meanspirited storyline with cardboard characters and performers who value cash above credibility. ",3194.000000000001
222,"The stupidest, most insulting movie of 2002's first quarter. ",1599.25
223,"Not only is Undercover Brother as funny, if not more so, than both Austin Powers films, but it's also one of the smarter, savvier spoofs to come along in some time. ",4077.09090909091
224,heavy... ,172.5
225,... ,15.0
226,It's all a rather shapeless good time... ,1524.6666666666665
227,"Thanks largely to Williams, all the interesting developments are processed in 60 minutes -- the rest is just an overexposed waste of film. ",2269.0
228,"The twist that ends the movie is the one with the most emotional resonance, but twists are getting irritating, and this is the kind of material where the filmmakers should be very careful about raising eyebrows. ",3900.8333333333335
229,Could The Country Bears really be as bad as its trailers? ,1669.6666666666665
230,Gere gives a good performance in a film that doesn't merit it. ,1340.7499999999998
231,Gollum's `performance' is incredible! ,792.3333333333334
232,"Despite its raucous intent, XXX is as conventional as a Nike ad and as rebellious as spring break. ",3070.2727272727275
233,The movie slides downhill as soon as macho action conventions assert themselves. ,1895.7272727272725
234,The cast is top-notch and I predict there will be plenty of female audience members drooling over Michael Idemoto as Michael. ,2701.8181818181815
235,It's a great American adventure and a wonderful film to bring to IMAX. ,1540.9999999999998
236,Feels less like a cousin to Blade Runner than like a bottom-feeder sequel in the Escape From New York series. ,3173.916666666666
237,"A thoroughly awful movie -- dumb, narratively chaotic, visually sloppy... ",1400.6363636363635
238,Aaliyah rarely dampens her diva persona enough to spark genuine chemistry with Townsend. ,2397.4166666666665
239,"Co-writer/director Jonathan Parker's attempts to fashion a Brazil-like, hyper-real satire fall dreadfully short. ",2101.9999999999995
240,Attal looks so much like a young Robert DeNiro that it seems the film should instead be called `My Husband Is Travis Bickle'. ,2278.333333333333
241,"by the time it's done with us, Mira Nair's new movie has its audience giddy with the delight of discovery, of having been immersed in a foreign culture only to find that human nature is pretty much the same all over. ",3329.4166666666674
242,"The fun of the movie is the chance it affords to watch Jackson, who also served as executive producer, take his smooth, shrewd, powerful act abroad. ",2951.1666666666665
243,"Fans of the TV series will be disappointed, and everyone else will be slightly bored. ",1244.6666666666665
244,It's never a good sign when a film's star spends the entirety of the film in a coma. ,1791.4166666666665
245,Deserves high marks for political courage but barely gets by on its artistic merits. ,1745.8333333333335
246,"It's difficult to conceive of anyone who has reached puberty actually finding the characters in Slackers or their antics amusing, let alone funny. ",2823.1818181818185
247,It's a fanboy `what if?' ... ,1239.0
248,"This is an extraordinary film, not least because it is Japanese and yet feels universal. ",1598.5833333333333
249,"It's not a particularly good film, but neither is it a monsterous one. ",951.9166666666667
250,"A lot of talent is wasted in this crass, low-wattage endeavor. ",1344.6666666666665
251,But it's too long and too convoluted and it ends in a muddle. ,1280.6666666666665
252,"A first-class, thoroughly involving B movie that effectively combines two surefire, beloved genres -- the prison flick and the fight film. ",3448.5833333333335
253,"The climactic events are so well realized that you may forget all about the original conflict, just like the movie does. ",2175.1666666666665
254,Visually sumptuous but intellectually stultifying. ,1288.5833333333333
255,"What makes How I Killed My Father compelling, besides its terrific performances, is Fontaine's willingness to wander into the dark areas of parent-child relationships without flinching. ",4183.249999999999
256,It won't bust your gut -- and it's not intended to -- it's merely a blandly cinematic surgical examination of what makes a joke a joke. ,2185.416666666667
257,"Like Rudy Yellow Lodge, Eyre needs to take a good sweat to clarify his cinematic vision before his next creation and remember the lessons of the trickster spider. ",3527.249999999999
258,"This is cool, slick stuff, ready to quench the thirst of an audience that misses the summer blockbusters. ",2168.4545454545455
259,"For VeggieTales fans, this is more appetizing than a side dish of asparagus. ",2666.818181818182
260,and it's all the stronger because of it. ,539.7272727272727
261,A generic family comedy unlikely to be appreciated by anyone outside the under-10 set. ,1914.3333333333333
262,One of the most exciting action films to come out of China in recent years. ,1309.4166666666667
263,Bad and baffling from the get-go. ,1002.2727272727273
264,"A very long movie, dull in stretches, with entirely too much focus on meal preparation and igloo construction. ",2481.3636363636365
265,"Rob Schneider's infantile cross-dressing routines fill The Hot Chick, the latest gimmick from this unimaginative comedian. ",3339.416666666667
266,But what's nice is that there's a casual intelligence that permeates the script. ,1417.9999999999998
267,How did it ever get made? ,802.0833333333333
268,This is one of the biggest disappointments of the year. ,958.4545454545455
269,"Sparkling, often hilarious romantic jealousy comedy... ",1472.4166666666665
270,Better at putting you to sleep than a sound machine. ,1234.75
271,Its vision of that awkward age when sex threatens to overwhelm everything else is acute enough to make everyone who has been there squirm with recognition. ,3236.7499999999995
272,"While obviously an extremely personal work, it remains inextricably stuck in an emotionally unavailable rut. ",2224.333333333333
273,"For those who pride themselves on sophisticated, discerning taste, this might not seem like the proper cup of tea, however it is almost guaranteed that even the stuffiest cinema goers will laugh their 1*** off for an hour-and-a-half. ",5189.454545454545
274,Griffin & Co. ,240.99999999999997
275,Perhaps the most annoying thing about Who Is Cletis Tout? ,1196.090909090909
276,Bella is the picture of health with boundless energy until a few days before she dies. ,2237.5833333333335
277,Godard's ode to tackling life's wonderment is a rambling and incoherent manifesto about the vagueness of topical excess... ,2170.9166666666665
278,"Jones, despite a definitely distinctive screen presence, just isn't able to muster for a movie that, its title notwithstanding, should have been a lot nastier if it wanted to fully capitalize on its lead's specific gifts. ",3423.1666666666665
279,"Qutting may be a flawed film, but it is nothing if not sincere. ",2345.583333333334
280,"The real charm of this trifle is the deadpan comic face of its star, Jean Reno, who resembles Sly Stallone in a hot sake half-sleep. ",3358.8333333333326
281,Another Best of the Year selection. ,1012.4166666666665
282,"As a remake, it's a pale imitation. ",927.8333333333334
283,An exhilarating experience. ,620.4166666666666
284,Features one of the most affecting depictions of a love affair ever committed to film. ,2425.0
285,This is one of those war movies that focuses on human interaction rather than battle and action sequences... ,2059.818181818182
286,"It is supremely unfunny and unentertaining to watch middle-age and older men drink to excess, piss on trees, b.s. ",2855.833333333333
287,"It's a hoot watching The Rock chomp on jumbo ants, pull an arrow out of his back, and leap unscathed through raging fire! ",2820.9999999999995
288,"I have no problem with ``difficult'' movies, or movies that ask the audience to meet them halfway and connect the dots instead of having things all spelled out. ",2177.6666666666665
289,"Whatever heartwarming scene the impressively discreet filmmakers may have expected to record with their mini DV, they show a remarkable ability to document both sides of this emotional car-wreck. ",5037.916666666664
290,"A lousy movie that's not merely unwatchable, but also unlistenable. ",1328.5833333333335
291,"No French people were harmed during the making of this movie, but they were insulted and the audience was put through torture for an hour and a half. ",2338.3333333333335
292,"This hastily mounted production exists only to capitalize on Hopkins' inclination to play Hannibal Lecter again, even though Harris has no immediate inclination to provide a fourth book. ",4683.25
293,"Celebrated at Sundance, this slight comedy of manners has winning performances and a glossy, glib charm that's hard to beat. ",2784.166666666667
294,Griffiths proves she's that rare luminary who continually raises the standard of her profession. ,1874.1666666666667
295,Like the best of Godard's movies... ,960.6363636363636
296,"Thanks to a small star with big heart, this family film sequel is plenty of fun for all. ",2085.1666666666665
297,"Instead of hiding Pinocchio from critics, Miramax should have hidden it from everyone. ",1772.75
298,"a solid, well-formed satire. ",1025.3333333333333
299,"One of those staggeringly well-produced, joylessly extravagant pictures that keep whooshing you from one visual marvel to the next, hastily, emptily. ",3940.909090909091
300,something appears to have been lost in the translation this time. ,1415.75
301,"LaBute can't avoid a fatal mistake in the modern era: He's changed the male academic from a lower-class Brit to an American, a choice that upsets the novel's exquisite balance and shreds the fabric of the film. ",4433.166666666667
302,In Praise of Love remains a ponderous and pretentious endeavor that's unfocused and tediously exasperating. ,1905.75
303,think of it as American Pie On Valium. ,1150.5
304,"We never truly come to care about the main characters and whether or not they'll wind up together, and Michele's spiritual quest is neither amusing nor dramatic enough to sustain interest. ",2615.5
305,manage to be spectacularly outrageous. ,751.0833333333333
306,Read My Lips is to be viewed and treasured for its extraordinary intelligence and originality as well as its lyrical variations on the game of love. ,2590.833333333333
307,A thinly veiled look at different aspects of Chinese life clashing with each other. ,1549.3333333333333
308,Narc can only remind us of brilliant crime dramas without becoming one itself. ,2199.0909090909095
309,I love the robust middle of this picture. ,1219.5
310,It's anchored by splendid performances from an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother/daughter pair. ,3888.4545454545455
